Biosample ID	Sample name	Sex	Population name	Superpopulation code	Superpopulation name
SAME125341	HG00112	male	British	EUR	European Ancestry
SAME125346	HG00117	male	British	EUR	European Ancestry
SAME122870	HG00124	female	British	EUR	European Ancestry
SAME122867	HG00129	male	British	EUR	European Ancestry
SAME123064	HG00131	male	British	EUR	European Ancestry
SAME123065	HG00136	male	British	EUR	European Ancestry
SAME124393	HG00143	male	British	EUR	European Ancestry
SAME124388	HG00148	male	British	EUR	European Ancestry
SAME124591	HG00150	female	British	EUR	European Ancestry
SAME124588	HG00155	male	British	EUR	European Ancestry
SAME123267	HG00097	female	British	EUR	European Ancestry
SAME125154	HG00100	female	British	EUR	European Ancestry
SAME123949	HG00105	male	British	EUR	European Ancestry
SAME123969	HG00554	female	Puerto Rican	AMR	American Ancestry
SAME125160	HG00109	male	British	EUR	European Ancestry
SAME124248	HG00559	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME125340	HG00111	female	British	EUR	European Ancestry
SAME124455	HG00561	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME125345	HG00116	male	British	EUR	European Ancestry
SAME125048	HG00566	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME122875	HG00123	female	British	EUR	European Ancestry
SAME123528	HG00578	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME122868	HG00128	female	British,English	EUR	European Ancestry,West Eurasia (SGDP)
SAME124832	HG00580	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME123063	HG00130	female	British	EUR	European Ancestry
SAME124722	HG00585	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME124586	HG00159	male	British	EUR	European Ancestry
SAME125124	HG00357	female	Finnish	EUR	European Ancestry
SAME124960	HG00173	female	Finnish	EUR	European Ancestry
SAME124543	HG00364	female	Finnish	EUR	European Ancestry
SAME124964	HG00178	female	Finnish	EUR	European Ancestry
SAME124534	HG00369	male	Finnish	EUR	European Ancestry
SAME123645	HG00180	female	Finnish	EUR	European Ancestry
SAME124747	HG00371	male	Finnish	EUR	European Ancestry
